# mass number (A) = 40
# number of protons (Z) = 20
# k (1/fm)	n_1(k) (fm^3)
0.0	4.11845857
0.1	3.97085192
0.2	3.60715781
0.3	3.20462753
0.4	2.90966923
0.5	2.74575353
0.6	2.62283553
0.7	2.42370307
0.8	2.08972707
0.9	1.64791699
1.0	1.17861243
1.1	0.76283818
1.2	0.44707919
1.3	0.23767299
1.4	0.11484526
1.5	0.05054398
1.6	0.02029855
1.7	0.00745124
1.8	0.00250381
1.9	0.00077116
2.0	0.00021794
2.1	0.00005658
2.2	0.00001350
2.3	0.00000296
2.4	0.00000060
2.5	0.00000011
2.6	0.00000002
2.7	0.00000000
2.8	0.00000000
2.9	0.00000000
3.0	0.00000000
#normalisation = 0.999999999996
